"no","generasi","pertanyaan","pertanyaan_ner","lapis_terjemahan","sql_asli_1baris","sql_dipakai_1baris","error"
"1","v1","""bagaimana riwayat pemeriksaan sarana alfamart dalam periode tahun 2024?""","""bagaimana riwayat pemeriksaan sarana <COMPANY NAME> dalam periode tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana ; kolom tujuan→tujuan_pemeriksaan","SELECT nama_sarana, lower(jenis_sarana), lower(komoditi), tujuan, kesimpulan, count(*) FROM public.vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) = 2024 AND LOWER(nama_sarana) LIKE '%alfamart%' GROUP BY nama_sarana , lower(jenis_sarana) , lower(komoditi) , tujuan , kesimpulan","SELECT nama_sarana, lower(sarana), lower(komoditi), tujuan_pemeriksaan, kesimpulan, count(*) FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2024 AND LOWER(nama_sarana) LIKE '%alfamart%' GROUP BY nama_sarana , lower(sarana) , lower(komoditi) , tujuan_pemeriksaan , kesimpulan",""
"2","v1","""bagaimana riwayat pemeriksaan sarana apotek kimia farma dalam periode tahun 2025?""","""bagaimana riwayat pemeriksaan sarana <FACILITY TYPE> <COMPANY NAME> dalam periode tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai","SELECT * FROM public.vw_pemeriksaan_bcc WHERE LOWER(nama_sarana) LIKE '%apotek kimia farma%' AND EXTRACT(YEAR FROM tgl_start) = 2025;","SELECT * FROM mv_pemeriksaan WHERE LOWER(nama_sarana) LIKE '%apotek kimia farma%' AND EXTRACT(YEAR FROM tanggal_mulai) = 2025;",""
"3","v1","""bagaimana tren data hasil pengawasan sarana obat tradisional; suplemen kesehatan; obat kuasi (profil hasil pengawasan) di upt balai besar pom di jakarta dalam periode tahun 2025?""","""bagaimana tren data hasil pengawasan sarana <COMMODITY NAME>; <COMMODITY NAME>; <COMMODITY NAME> (profil hasil pengawasan) di <FACILITY TYPE> di <CITY NAME> dalam periode tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_end→tanggal_selesai ; kolom nama_balai→nama_upt","select extract(month from tgl_end) as bulan, extract(year from tgl_end) as tahun, komoditi, count(*) as jumlah_pemeriksaan from vw_pemeriksaan_bcc where nama_balai = 'BALAI BESAR POM DI JAKARTA' and lower(komoditi) in ('obat tradisional', 'suplemen kesehatan','obat kuasi') and extract(year from tgl_end) = 2025 group by extract(month from tgl_end), extract(year from tgl_end), komoditi order by komoditi, extract(month from tgl_end), extract(year from tgl_end)","select extract(month from tanggal_selesai) as bulan, extract(year from tanggal_selesai) as tahun, komoditi, count(*) as jumlah_pemeriksaan from mv_pemeriksaan where nama_upt = 'BALAI BESAR POM DI JAKARTA' and lower(komoditi) in ('obat tradisional', 'suplemen kesehatan','obat kuasi') and extract(year from tanggal_selesai) = 2025 group by extract(month from tanggal_selesai), extract(year from tanggal_selesai), komoditi order by komoditi, extract(month from tanggal_selesai), extract(year from tanggal_selesai)",""
"4","v1","""bagaimana tren data hasil pengawasan sarana obat tradisional; suplemen kesehatan; obat kuasi dalam periode tahun 2025?""","""bagaimana tren data hasil pengawasan sarana obat tradisional; suplemen kesehatan; obat kuasi dalam periode tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai","SELECT EXTRACT(MONTH FROM tgl_start) AS month, COUNT(*) AS total FROM public.vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) = 2025 GROUP BY month ORDER BY month;","SELECT EXTRACT(MONTH FROM tanggal_mulai) AS month, COUNT(*) AS total FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2025 GROUP BY month ORDER BY month;",""
"5","v1","""bagaimana tren data hasil pengawasan sarana produksi kosmetik yang memenuhi ketentuan dan tidak memenuhi ketentuan dalam periode tahun 2024?""","""bagaimana tren data hasil pengawasan sarana produksi kosmetik yang memenuhi ketentuan dan tidak memenuhi ketentuan dalam periode tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT COUNT(*) FROM vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) = 2024 AND lower(jenis_sarana) = 'produksi';","SELECT COUNT(*) FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2024 AND lower(sarana) = 'produksi';",""
"6","v1","""bagaimana tren hasil pemeriksaan sarana peredaran sejak tahun 2025""","""bagaimana tren hasil pemeriksaan sarana peredaran sejak tahun <YEAR>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai","SELECT EXTRACT(YEAR FROM tgl_start) AS tahun, COUNT(*) AS jumlah FROM vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) >= 2025 GROUP BY tahun ORDER BY tahun;","SELECT EXTRACT(YEAR FROM tanggal_mulai) AS tahun, COUNT(*) AS jumlah FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) >= 2025 GROUP BY tahun ORDER BY tahun;",""
"7","v1","""bagaimana tren hasil pemeriksaan sarana produksi md dan pirt sejak tahun 2024 hingga 2025?""","""bagaimana tren hasil pemeriksaan <FACILITY TYPE> md dan pirt sejak tahun <YEAR> hingga <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana ; kolom klasifikasi→komoditi","SELECT EXTRACT(YEAR FROM tgl_start) AS tahun, kesimpulan, klasifikasi, COUNT(*) AS jumlah FROM vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) BETWEEN 2024 AND 2025 AND lower(jenis_sarana) ILIKE '%produksi%' AND (klasifikasi ILIKE '%MD%' OR klasifikasi ILIKE '%IRT%') GROUP BY EXTRACT(YEAR FROM tgl_start), kesimpulan, klasifikasi ORDER BY tahun, kesimpulan, klasifikasi;","SELECT EXTRACT(YEAR FROM tanggal_mulai) AS tahun, kesimpulan, komoditi, COUNT(*) AS jumlah FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) BETWEEN 2024 AND 2025 AND lower(sarana) ILIKE '%produksi%' AND (komoditi ILIKE '%MD%' OR komoditi ILIKE '%IRT%') GROUP BY EXTRACT(YEAR FROM tanggal_mulai), kesimpulan, komoditi ORDER BY tahun, kesimpulan, komoditi;",""
"8","v1","""bagaimana tren hasil pemeriksaan sarana produksi md jenis pangan garam, tepung, lemak dan minyak nabati sejak tahun 2020?""","""bagaimana tren hasil pemeriksaan <FACILITY TYPE> md jenis pangan <COMMODITY NAME>, <COMMODITY NAME>, <COMMODITY NAME> dan <COMMODITY NAME> sejak tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana ; kolom klasifikasi→komoditi","SELECT komoditi, EXTRACT(YEAR FROM tgl_start), kesimpulan, count(*) FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) like 'produksi' AND lower(klasifikasi) LIKE '%md%' GROUP BY 1, 2, 3 ORDER BY count(*) DESC","SELECT komoditi, EXTRACT(YEAR FROM tanggal_mulai), kesimpulan, count(*) FROM mv_pemeriksaan WHERE lower(sarana) like 'produksi' AND lower(komoditi) LIKE '%md%' GROUP BY 1, 2, 3 ORDER BY count(*) DESC",""
"9","v1","""berapa total sarana yang tutup dan/atau tidak berproduksi saat diperiksa di tahun 2025 di wilayah kerja jakarta utara?""","""berapa total sarana yang tutup dan/atau tidak berproduksi saat diperiksa di tahun <YEAR> di wilayah kerja <CITY NAME>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom kabupaten→kabupaten_kota ; kolom jenis_sarana→sarana","SELECT count(*) FROM vw_pemeriksaan_bcc WHERE kesimpulan = 'TTP' AND lower(jenis_sarana) like 'produksi' AND EXTRACT(YEAR FROM tgl_start) = 2025 AND lower(kabupaten) LIKE '%jakarta utara%'","SELECT count(*) FROM mv_pemeriksaan WHERE kesimpulan = 'TTP' AND lower(sarana) like 'produksi' AND EXTRACT(YEAR FROM tanggal_mulai) = 2025 AND lower(kabupaten_kota) LIKE '%jakarta utara%'",""
"10","v1","""dari seluruh upt, sarana produksi md dengan jenis pangan apa yang paling banyak tmk di tahun 2025?""","""dari seluruh upt, sarana produksi md dengan jenis pangan apa yang paling banyak tmk di tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom jenis_sarana→sarana ; kolom klasifikasi→komoditi","SELECT nama_sarana, komoditi, count(*) FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) like 'produksi' AND kesimpulan = 'TMK' AND lower(klasifikasi) LIKE '%md%' GROUP BY nama_sarana, komoditi ORDER BY count(*) DESC LIMIT 5","SELECT nama_sarana, komoditi, count(*) FROM mv_pemeriksaan WHERE lower(sarana) like 'produksi' AND kesimpulan = 'TMK' AND lower(komoditi) LIKE '%md%' GROUP BY nama_sarana, komoditi ORDER BY count(*) DESC LIMIT 5",""
