"no","generasi","pertanyaan","tabel_dipakai","pakai_agregasi","status_sebelum","status_sesudah","baris_hasil","kode_diagnosa","penjelasan_sebab"
"1","v1","""bagaimana riwayat pemeriksaan sarana alfamart dalam periode tahun 2024?""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","587","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"2","v1","""bagaimana riwayat pemeriksaan sarana apotek kimia farma dalam periode tahun 2025?""","mv_pemeriksaan + tanggal_mulai","tidak","ERR_SCHEMA","OK","38","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"3","v1","""bagaimana tren data hasil pengawasan sarana obat tradisional; suplemen kesehatan; obat kuasi (profil hasil pengawasan) di upt balai besar pom di jakarta dalam periode tahun 2025?""","tanggal_selesai + mv_pemeriksaan","ya","ERR_SCHEMA","OK","23","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"4","v1","""bagaimana tren data hasil pengawasan sarana obat tradisional; suplemen kesehatan; obat kuasi dalam periode tahun 2025?""","tanggal_mulai + mv_pemeriksaan","ya","ERR_SCHEMA","OK","12","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"5","v1","""bagaimana tren data hasil pengawasan sarana produksi kosmetik yang memenuhi ketentuan dan tidak memenuhi ketentuan dalam periode tahun 2024?""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"6","v1","""bagaimana tren hasil pemeriksaan sarana peredaran sejak tahun 2025""","tanggal_mulai + mv_pemeriksaan","ya","ERR_SCHEMA","OK","3","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"7","v1","""bagaimana tren hasil pemeriksaan sarana produksi md dan pirt sejak tahun 2024 hingga 2025?""","tanggal_mulai + mv_pemeriksaan","ya","ERR_SCHEMA","NOL_BARIS","0","NOL_TIDAK_DITEMUKAN","Pencarian teks bebas tidak menemukan padanan — nol baris adalah jawaban (""tidak ditemukan""), bukan kegagalan"
"8","v1","""bagaimana tren hasil pemeriksaan sarana produksi md jenis pangan garam, tepung, lemak dan minyak nabati sejak tahun 2020?""","tanggal_mulai + mv_pemeriksaan","ya","ERR_SCHEMA","NOL_BARIS","0","NOL_TIDAK_DITEMUKAN","Pencarian teks bebas tidak menemukan padanan — nol baris adalah jawaban (""tidak ditemukan""), bukan kegagalan"
"9","v1","""berapa total sarana yang tutup dan/atau tidak berproduksi saat diperiksa di tahun 2025 di wilayah kerja jakarta utara?""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"10","v1","""dari seluruh upt, sarana produksi md dengan jenis pangan apa yang paling banyak tmk di tahun 2025?""","mv_pemeriksaan","ya","ERR_SCHEMA","NOL_BARIS","0","NOL_TIDAK_DITEMUKAN","Pencarian teks bebas tidak menemukan padanan — nol baris adalah jawaban (""tidak ditemukan""), bukan kegagalan"
"11","v1","""merekap jumlah dan nama sarana distribusi dan pelayanan yang belum pernah diperiksa dalam kurun waktu 1 tahun terakhir""","mv_pemeriksaan","tidak","ERR_SCHEMA","OK","214166","OK_TAPI_RAKSASA","Pulih setelah penyesuaian relasi + kolom ke skema live. TAPI hasilnya 214,166 baris tanpa agregasi — jalan, bukan jawaban"
